2022-05-31_09-17-39 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
2022-05-31_09-17-39 [restartedMain] INFO  c.c.p.ProcessPensionServiceApplication - Starting ProcessPensionServiceApplication using Java 11.0.1 on SARIKA with PID 4864 (I:\FSE\FSEProject\890071-pension-management-system\process-pension-service\target\classes started by USER in I:\FSE\FSEProject\890071-pension-management-system\process-pension-service)
2022-05-31_09-17-39 [restartedMain] INFO  c.c.p.ProcessPensionServiceApplication - No active profile set, falling back to default profiles: default
2022-05-31_09-17-39 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-05-31_09-17-39 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-05-31_09-17-39 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-05-31_09-17-39 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 551 ms. Found 2 JPA repository interfaces.
2022-05-31_09-17-39 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=1e7f3840-938b-3158-bb5d-717d52cbc891
2022-05-31_09-17-39 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.cts.processPension.feign.AuthorisationClient' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-05-31_09-17-39 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.cts.processPension.feign.PensionDisbursementClient' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-05-31_09-17-39 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.cts.processPension.feign.PensionerDetailsClient' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-05-31_09-17-39 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2022-05-31_09-17-39 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2022-05-31_09-17-39 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2022-05-31_09-17-39 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.48]
2022-05-31_09-17-39 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-05-31_09-17-39 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 11368 ms
2022-05-31_09-17-39 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-05-31_09-17-39 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2022-05-31_09-17-39 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:process_pension_db'
2022-05-31_09-17-39 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2022-05-31_09-17-39 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.32.Final
2022-05-31_09-17-39 [restartedMain] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-05-31_09-17-39 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-05-31_09-17-39 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-05-31_09-17-39 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-05-31_09-17-39 [restartedMain] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2022-05-31_09-17-39 [restartedMain] INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses RestTemplate.
2022-05-31_09-17-39 [restartedMain] INFO  o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2022-05-31_09-17-39 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2022-05-31_09-17-39 [restartedMain] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2022-05-31_09-17-39 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Disable delta property : false
2022-05-31_09-17-39 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2022-05-31_09-17-39 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2022-05-31_09-17-39 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Application is null : false
2022-05-31_09-17-39 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2022-05-31_09-17-39 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: true
2022-05-31_09-17-39 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2022-05-31_09-17-39 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - The response status is 200
2022-05-31_09-17-39 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2022-05-31_09-17-39 [restartedMain] INFO  c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2022-05-31_09-17-39 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1653968884692 with initial instances count: 3
2022-05-31_09-17-39 [restartedMain] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Registering application PROCESS-PENSION-SERVICE with eureka with status UP
2022-05-31_09-17-39 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1653968884704, current=UP, previous=STARTING]
2022-05-31_09-17-39 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2022-05-31_09-17-39 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_PROCESS-PENSION-SERVICE/host.docker.internal:PROCESS-PENSION-SERVICE:8082: registering service...
2022-05-31_09-17-39 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
2022-05-31_09-17-39 [restartedMain] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8082
2022-05-31_09-17-39 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_PROCESS-PENSION-SERVICE/host.docker.internal:PROCESS-PENSION-SERVICE:8082 - registration status: 204
